userId,content,interactionCount,topic
user001,"今天的天气真好，适合出去走走",42,生活
user002,"如何看待人工智能对未来工作的影响？",156,科技
user003,"刚看完《流浪地球2》，特效太震撼了！",89,娱乐
user004,"推荐一款好用的代码编辑器",23,技术
user005,"这个周末准备去爬山，有小伙伴一起吗？",67,生活
user006,"分享一个提高编程效率的小技巧",134,技术
user007,"如何看待新能源汽车的发展趋势？",98,科技
user008,"最近在学习Spring Boot，有什么好的教程推荐吗？",76,技术
user009,"今天做了一道超级好吃的菜",55,生活
user010,"关于微服务架构设计的一些思考",201,技术
user011,"如何看待元宇宙概念的未来发展？",145,科技
user012,"推荐几本最近读过的好书",34,生活
user013,"Java 17新特性使用体验分享",178,技术
user014,"今天去看了场演唱会，太精彩了！",92,娱乐
user015,"关于数据库索引优化的一点心得",167,技术
user016,"周末的咖啡店时光",28,生活
user017,"机器学习入门学习路径推荐",189,科技
user018,"DIY了一个智能家居设备",112,技术
user019,"今天的夕阳特别美",63,生活
user020,"区块链技术在金融领域的应用探讨",135,科技
